2025-12-02 17:28:21 | INFO     | psx_ai_advisor.ml_predictor | __init__            :123  | MLPredictor initialized with RandomForest model
2025-12-02 17:28:21 | INFO     | psx_ai_advisor.ml_predictor | __init__            :147  | Model type overridden to 'ensemble' based on configuration
2025-12-02 17:28:21 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_optional_dependencies:181  | Optional dependency xgboost is available
2025-12-02 17:28:21 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:21 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:21 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:21 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:21 | DEBUG    | psx_ai_advisor.ml_predictor | _ensure_model_directories:167  | Ensured model directories exist: data\models, data\scalers, data\cache
2025-12-02 17:28:21 | INFO     | psx_ai_advisor.ml_predictor | __init__            :123  | MLPredictor initialized with RandomForest model
2025-12-02 17:28:21 | INFO     | psx_ai_advisor.ml_predictor | __init__            :147  | Model type overridden to 'ensemble' based on configuration
2025-12-02 17:28:21 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_optional_dependencies:181  | Optional dependency xgboost is available
2025-12-02 17:28:21 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:55 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:55 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:55 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:55 | DEBUG    | psx_ai_advisor.ml_predictor | _ensure_model_directories:167  | Ensured model directories exist: data\models, data\scalers, data\cache
2025-12-02 17:28:55 | INFO     | psx_ai_advisor.ml_predictor | __init__            :123  | MLPredictor initialized with RandomForest model
2025-12-02 17:28:55 | INFO     | psx_ai_advisor.ml_predictor | __init__            :147  | Model type overridden to 'ensemble' based on configuration
2025-12-02 17:28:55 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_optional_dependencies:181  | Optional dependency xgboost is available
2025-12-02 17:28:55 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.ml_predictor | _ensure_model_directories:167  | Ensured model directories exist: data\models, data\scalers, data\cache
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.ml_predictor | __init__            :123  | MLPredictor initialized with RandomForest model
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.ml_predictor | __init__            :147  | Model type overridden to 'ensemble' based on configuration
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_optional_dependencies:181  | Optional dependency xgboost is available
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.data_storage | _ensure_directories :55   | Ensured directories exist: data, backups
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.ml_predictor | _ensure_model_directories:167  | Ensured model directories exist: data\models, data\scalers, data\cache
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.ml_predictor | __init__            :123  | MLPredictor initialized with RandomForest model
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.ml_predictor | __init__            :147  | Model type overridden to 'ensemble' based on configuration
2025-12-02 17:28:59 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_optional_dependencies:181  | Optional dependency xgboost is available
2025-12-02 17:28:59 | INFO     | psx_ai_advisor.technical_analysis | __init__            :29   | TechnicalAnalyzer initialized
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.data_storage | get_available_symbols:371  | Found 115 symbols with data files
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3703 | Starting enhanced model load for ABL_HISTORICAL_DATA...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3746 | Loading individual model for ABL_HISTORICAL_DATA...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3703 | Starting enhanced model load for ABOT_HISTORICAL_DATA...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3746 | Loading individual model for ABOT_HISTORICAL_DATA...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3703 | Starting enhanced model load for ADMM_HISTORICAL_DATA...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3746 | Loading individual model for ADMM_HISTORICAL_DATA...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3703 | Starting enhanced model load for AGIL_HISTORICAL_DATA...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3746 | Loading individual model for AGIL_HISTORICAL_DATA...
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | _load_model_memory_efficient:3466 | Successfully loaded model from data\models\ABL_HISTORICAL_DATA_model.pkl: 263.9 KB
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | _load_model_memory_efficient:3466 | Successfully loaded model from data\models\AGIL_HISTORICAL_DATA_model.pkl: 2003.8 KB
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_loaded_model:4753 | Model validation passed for AGIL_HISTORICAL_DATA (individual)
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3763 | Individual model loaded successfully for AGIL_HISTORICAL_DATA
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | load_scaler         :3828 | Scaler loaded for AGIL_HISTORICAL_DATA from data\scalers\AGIL_HISTORICAL_DATA_scaler.pkl
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_loaded_model:4753 | Model validation passed for ABL_HISTORICAL_DATA (individual)
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3763 | Individual model loaded successfully for ABL_HISTORICAL_DATA
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | load_scaler         :3828 | Scaler loaded for ABL_HISTORICAL_DATA from data\scalers\ABL_HISTORICAL_DATA_scaler.pkl
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | _load_model_memory_efficient:3466 | Successfully loaded model from data\models\ADMM_HISTORICAL_DATA_model.pkl: 711.1 KB
